#Accession	ID	Type	Description	Class	subclass
RF02154	NCRUPAR_1	Gene;lncRNA	Non-protein coding RNA, upstream of F2R/PAR1 conserved region 1	lncRNA	lncRNA
RF02155	NCRUPAR_2	Gene;lncRNA	Non-protein coding RNA, upstream of F2R/PAR1 conserved region 2	lncRNA	lncRNA
RF02156	NPPA-AS1_1	Gene;lncRNA	NPPA antisense RNA 1 conserved region 1	lncRNA	lncRNA
RF02157	NPPA-AS1_2	Gene;lncRNA	NPPA antisense RNA 1 conserved region 2	lncRNA	lncRNA
RF02158	NPPA-AS1_3	Gene;lncRNA	NPPA antisense RNA 1 conserved region 3	lncRNA	lncRNA
RF02159	PART1_1	Gene;lncRNA	Prostate androgen-regulated transcript 1 conserved region 1	lncRNA	lncRNA
RF02160	PART1_2	Gene;lncRNA	Prostate androgen-regulated transcript 1 conserved region 2	lncRNA	lncRNA
RF02161	PART1_3	Gene;lncRNA	Prostate androgen-regulated transcript 1 conserved region 3	lncRNA	lncRNA
RF02162	XIST_A_REPEAT	Gene;sRNA	XIST RNA A repeat	sRNA	sRNA
RF02164	PVT1_1	Gene;lncRNA	Pvt1 oncogene conserved region 1	lncRNA	lncRNA
RF02165	PVT1_2	Gene;lncRNA	Pvt1 oncogene conserved region 2	lncRNA	lncRNA
RF02166	PVT1_3	Gene;lncRNA	Pvt1 oncogene conserved region 3	lncRNA	lncRNA
RF02167	PVT1_4	Gene;lncRNA	Pvt1 oncogene conserved region 4	lncRNA	lncRNA
RF02168	PVT1_5	Gene;lncRNA	Pvt1 oncogene conserved region 5	lncRNA	lncRNA
RF02169	PVT1_6	Gene;lncRNA	Pvt1 oncogene conserved region 6	lncRNA	lncRNA
RF02170	PVT1_7	Gene;lncRNA	Pvt1 oncogene conserved region 7	lncRNA	lncRNA
RF02171	RFPL3-AS1_1	Gene;lncRNA	RFPL3 antisense RNA 1 conserved region 1	lncRNA	lncRNA
RF02172	RFPL3-AS1_2	Gene;lncRNA	RFPL3 antisense RNA 1 conserved region 2	lncRNA	lncRNA
RF02173	SMAD5-AS1_1	Gene;lncRNA	SMAD5 antisense RNA 1 conserved region 1	lncRNA	lncRNA
RF02174	SMAD5-AS1_2	Gene;lncRNA	SMAD5 antisense RNA 1 conserved region 2	lncRNA	lncRNA
RF02175	SMAD5-AS1_3	Gene;lncRNA	SMAD5 antisense RNA 1 conserved region 3	lncRNA	lncRNA
RF02176	SMAD5-AS1_4	Gene;lncRNA	SMAD5 antisense RNA 1 conserved region 4	lncRNA	lncRNA
RF02177	SMCR2_1	Gene;lncRNA	Smith-Magenis syndrome chromosome region, candidate 2 conserved region 1	lncRNA	lncRNA
RF02178	SMCR2_2	Gene;lncRNA	Smith-Magenis syndrome chromosome region, candidate 2 conserved region 2	lncRNA	lncRNA
RF02179	ST7-AS1_1	Gene;lncRNA	ST7 antisense RNA 1 conserved region 1	lncRNA	lncRNA
RF02180	ST7-AS1_2	Gene;lncRNA	ST7 antisense RNA 1 conserved region 2	lncRNA	lncRNA
RF02181	ST7-AS2_1	Gene;lncRNA	ST7 antisense RNA 2 conserved region 1	lncRNA	lncRNA
RF02182	ST7-AS2_2	Gene;lncRNA	ST7 antisense RNA 2 conserved region 2	lncRNA	lncRNA
RF02183	ST7-OT3_1	Gene;lncRNA	ST7 overlapping transcript 3 conserved region 1	lncRNA	lncRNA
RF02184	ST7-OT3_2	Gene;lncRNA	ST7 overlapping transcript 3 conserved region 2	lncRNA	lncRNA
RF02185	ST7-OT3_3	Gene;lncRNA	ST7 overlapping transcript 3 conserved region 3	lncRNA	lncRNA
RF02186	ST7-OT3_4	Gene;lncRNA	ST7 overlapping transcript 3 conserved region 4	lncRNA	lncRNA
RF02187	ST7-OT4_1	Gene;lncRNA	ST7 overlapping transcript 4 conserved region 1	lncRNA	lncRNA
RF02188	ST7-OT4_2	Gene;lncRNA	ST7 overlapping transcript 4 conserved region 2	lncRNA	lncRNA
RF02189	ST7-OT4_3	Gene;lncRNA	ST7 overlapping transcript 4 conserved region 3	lncRNA	lncRNA
RF02190	ST7-OT4_4	Gene;lncRNA	ST7 overlapping transcript 4 conserved region 4	lncRNA	lncRNA
RF02191	TCL6_1	Gene;lncRNA	T-cell leukemia/lymphoma 6 conserved region 1	lncRNA	lncRNA
RF02192	TCL6_2	Gene;lncRNA	T-cell leukemia/lymphoma 6 conserved region 2	lncRNA	lncRNA
RF02193	TCL6_3	Gene;lncRNA	T-cell leukemia/lymphoma 6 conserved region 3	lncRNA	lncRNA
RF02195	TP53TG1_1	Gene;lncRNA	TP53 target 1 conserved region 1	lncRNA	lncRNA
RF02196	TP53TG1_2	Gene;lncRNA	TP53 target 1 conserved region 2	lncRNA	lncRNA
RF02197	TP73-AS1	Gene;lncRNA	TP73 antisense RNA 1 conserved region	lncRNA	lncRNA
RF02198	TTC28-AS1_1	Gene;lncRNA	TTC28 antisense RNA 1 conserved region 1	lncRNA	lncRNA
RF02199	TTC28-AS1_2	Gene;lncRNA	TTC28 antisense RNA 1 conserved region 2	lncRNA	lncRNA
RF02200	TTC28-AS1_3	Gene;lncRNA	TTC28 antisense RNA 1 conserved region 3	lncRNA	lncRNA
RF02201	TTC28-AS1_4	Gene;lncRNA	TTC28 antisense RNA 1 conserved region 4	lncRNA	lncRNA
RF02202	UCA1	Gene;lncRNA	Urothelial cancer associated 1 conserved region	lncRNA	lncRNA
RF02203	WT1-AS_1	Gene;lncRNA	WT1 antisense RNA conserved region 1	lncRNA	lncRNA
RF02204	WT1-AS_2	Gene;lncRNA	WT1 antisense RNA conserved region 2	lncRNA	lncRNA
RF02205	WT1-AS_3	Gene;lncRNA	WT1 antisense RNA conserved region 3	lncRNA	lncRNA
RF02206	WT1-AS_4	Gene;lncRNA	WT1 antisense RNA conserved region 4	lncRNA	lncRNA
RF02207	WT1-AS_5	Gene;lncRNA	WT1 antisense RNA conserved region 5	lncRNA	lncRNA
RF02208	WT1-AS_6	Gene;lncRNA	WT1 antisense RNA conserved region 6	lncRNA	lncRNA
RF02209	WT1-AS_7	Gene;lncRNA	WT1 antisense RNA conserved region 7	lncRNA	lncRNA
RF02210	WT1-AS_8	Gene;lncRNA	WT1 antisense RNA conserved region 8	lncRNA	lncRNA
RF02211	ZFAT-AS1_1	Gene;lncRNA	ZFAT antisense RNA 1 conserved region 1	lncRNA	lncRNA
RF02212	ZFAT-AS1_2	Gene;lncRNA	ZFAT antisense RNA 1 conserved region 2	lncRNA	lncRNA
RF02213	ZFAT-AS1_3	Gene;lncRNA	ZFAT antisense RNA 1 conserved region 3	lncRNA	lncRNA
RF02214	mir-56	Gene;miRNA	microRNA mir-56	miRNA	miRNA
RF02215	ZNFX1-AS1_1	Gene;lncRNA	ZNFX1 antisense RNA 1 conserved region 1	lncRNA	lncRNA
RF02216	ZNFX1-AS1_2	Gene;lncRNA	ZNFX1 antisense RNA 1 conserved region 2	lncRNA	lncRNA
RF02217	ZNFX1-AS1_3	Gene;lncRNA	ZNFX1 antisense RNA 1 conserved region 3	lncRNA	lncRNA
RF02218	ZNRD1-AS1_1	Gene;lncRNA	ZNRD1 antisense RNA 1 conserved region 1	lncRNA	lncRNA
RF02219	ZNRD1-AS1_2	Gene;lncRNA	ZNRD1 antisense RNA 1 conserved region 2	lncRNA	lncRNA
RF02220	ZNRD1-AS1_3	Gene;lncRNA	ZNRD1 antisense RNA 1 conserved region 3	lncRNA	lncRNA
RF02221	sRNA-Xcc1	Gene;sRNA	sRNA-Xcc1	sRNA	sRNA
RF02222	sX2	Gene;sRNA	Xanthomonas sRNA sX2	sRNA	sRNA
RF02223	sX4	Gene;sRNA	Proteobacterial sRNA sX4	sRNA	sRNA
RF02224	sX5	Gene;sRNA	Xanthomonadaceae sRNA sX5	sRNA	sRNA
RF02225	sX6	Gene;sRNA	Proteobacterial sRNA sX6	sRNA	sRNA
RF02226	sX7	Gene;sRNA	Xanthomonas sRNA sX7	sRNA	sRNA
RF02227	sX8	Gene;sRNA	Proteobacterial sRNA sX8	sRNA	sRNA
RF02228	sX9	Gene;sRNA	Xanthomonas sRNA sX9	sRNA	sRNA
RF02230	sX11	Gene;sRNA	Proteobacterial sRNA sX11	sRNA	sRNA
RF02231	sX12	Gene;sRNA	Xanthomonas sRNA sX12	sRNA	sRNA
RF02232	sX13	Gene;sRNA	Xanthomonadaceae sRNA sX13	sRNA	sRNA
RF02233	sX14	Gene;sRNA	Xanthomonas sRNA sX14/Xoo3	sRNA	sRNA
RF02234	sX15	Gene;sRNA	Xanthomonadaceae sRNA sX15	sRNA	sRNA
RF02235	asX1	Gene;sRNA	Xanthomonadaceae sRNA asX1	sRNA	sRNA
RF02236	asX2	Gene;sRNA	Xanthomonas sRNA asX2	sRNA	sRNA
RF02237	asX3	Gene;sRNA	Xanthomonas sRNA asX3	sRNA	sRNA
RF02238	asX4	Gene;sRNA	Xanthomonas sRNA asX4/Xoo4	sRNA	sRNA
RF02239	asX6	Gene;sRNA	Xanthomonas sRNA asX6	sRNA	sRNA
RF02240	Xoo1	Gene;sRNA	Xanthomonadaceae sRNA Xoo1	sRNA	sRNA
RF02241	Xoo2	Gene;sRNA	Xanthomonadaceae sRNA Xoo2	sRNA	sRNA
RF02242	Xoo5	Gene;sRNA	Xanthomonadaceae sRNA Xoo5	sRNA	sRNA
RF02243	Xoo8	Gene;sRNA	Proteobacterial sRNA Xoo8	sRNA	sRNA
RF02244	mir-785	Gene;miRNA	microRNA mir-785	miRNA	miRNA
RF02245	mir-788	Gene;miRNA	microRNA mir-788	miRNA	miRNA
RF02246	Six3os1_1	Gene;lncRNA	Six3os1 conserved region 1	lncRNA	lncRNA
RF02247	Six3os1_2	Gene;lncRNA	Six3os1 conserved region 2	lncRNA	lncRNA
RF02248	Six3os1_3	Gene;lncRNA	Six3os1 conserved region 3	lncRNA	lncRNA
RF02249	Six3os1_4	Gene;lncRNA	Six3os1 conserved region 4	lncRNA	lncRNA
RF02250	Six3os1_5	Gene;lncRNA	Six3os1 conserved region 5	lncRNA	lncRNA
RF02251	Six3os1_6	Gene;lncRNA	Six3os1 conserved region 6	lncRNA	lncRNA
RF02252	Six3os1_7	Gene;lncRNA	Six3os1 conserved region 7	lncRNA	lncRNA
RF02254	mir-35	Gene;miRNA	microRNA mir-35	miRNA	miRNA
RF02255	adapt33_1	Gene;lncRNA	Adaptive response 33 conserved region 1	lncRNA	lncRNA
RF02256	adapt33_2	Gene;lncRNA	Adaptive response 33 conserved region 2	lncRNA	lncRNA
RF02257	adapt33_3	Gene;lncRNA	Adaptive response 33 conserved region 3	lncRNA	lncRNA
RF02258	adapt33_4	Gene;lncRNA	Adaptive response 33 conserved region 4	lncRNA	lncRNA
RF02259	Vax2os1_1	Gene;lncRNA	Vax2os1 conserved region 1	lncRNA	lncRNA
RF02266	XIST_intron	Gene;lncRNA	XIST 3' intron conserved motif	lncRNA	lncRNA
RF02267	Vax2os1_2	Gene;lncRNA	Vax2os1 conserved region 2	lncRNA	lncRNA
RF02268	MtlS	Gene;sRNA	MtlS RNA	sRNA	sRNA
RF02269	HPnc0580	Gene;sRNA	Heliobacter pylori small RNA HPnc0580	sRNA	sRNA
RF02272	Vax2os1_3	Gene;lncRNA	Vax2os1 conserved region 3	lncRNA	lncRNA
RF02278	Betaproteobacteria_toxic_sRNA	Gene;sRNA	Betaproteobacteria toxic small RNA	sRNA	sRNA
RF02341	ncrMT1302	Gene;sRNA	Mycobacterium sRNA ncrMT1302	sRNA	sRNA
RF02342	ar7	Gene;sRNA	Alphaproteobacterial sRNA ar7	sRNA	sRNA
RF02343	ar9	Gene;sRNA	Alphaproteobacterial sRNA ar9	sRNA	sRNA
RF02344	ar14	Gene;sRNA	Alphaproteobacterial ar14	sRNA	sRNA
RF02345	ar15	Gene;sRNA	Alphaproteobacterial ar15	sRNA	sRNA
RF02346	ar35	Gene;sRNA	Alphaproteobacterial sRNA ar35	sRNA	sRNA
RF02347	ar45	Gene;sRNA	Alphaproteobacterial sRNA ar45	sRNA	sRNA
RF02349	psRNA2	Gene;sRNA	Proteobacterial sRNA psRNA2	sRNA	sRNA
RF02350	psRNA6	Gene;sRNA	Nitrosomonas sRNA psRNA6	sRNA	sRNA
RF02351	psRNA14	Gene;sRNA	Proteobacteria sRNA psRNA14	sRNA	sRNA
RF02353	BjrC68	Gene;sRNA	Bradyrhizobiaceae sRNA BjrC68	sRNA	sRNA
RF02354	BjrC80	Gene;sRNA	Bradyrhizobiaceae sRNA BjrC80	sRNA	sRNA
RF02355	BjrC174	Gene;sRNA	Bradyrhizobiaceae sRNA BjrC174	sRNA	sRNA
RF02356	BjrC1505	Gene;sRNA	Alphaproteobacterial sRNA BjrC1505	sRNA	sRNA
RF02360	Yfr8	Gene;sRNA	Cyanobacterial functional RNA 8/9	sRNA	sRNA
RF02362	Yfr10	Gene;sRNA	Cyanobacterial functional RNA 10	sRNA	sRNA
RF02363	Yfr11	Gene;sRNA	Cyanobacterial functional RNA 11	sRNA	sRNA
RF02364	Yfr13	Gene;sRNA	Cyanobacterial functional RNA 13	sRNA	sRNA
RF02365	Yfr17	Gene;sRNA	Cyanobacterial functional RNA 17	sRNA	sRNA
RF02366	Yfr19	Gene;sRNA	Cyanobacterial functional RNA 19	sRNA	sRNA
RF02367	Yfr20	Gene;sRNA	Cyanobacterial functional RNA 20	sRNA	sRNA
RF02368	Yfr21	Gene;sRNA	Cyanobacterial functional RNA 21	sRNA	sRNA
RF02369	h2cR	Gene;sRNA	h2cR sRNA	sRNA	sRNA
RF02374	YenS	Gene;sRNA	Yersinia YenS sRNA	sRNA	sRNA
RF02375	Aar	Gene;sRNA	Aar sRNA	sRNA	sRNA
RF02376	antisense_SR1	Gene;sRNA	SR1 sRNA	sRNA	sRNA
RF02377	SurA	Gene;sRNA	SurA sRNA	sRNA	sRNA
RF02378	SurC	Gene;sRNA	SurC sRNA	sRNA	sRNA
RF02379	csRNA	Gene;sRNA	Cia-dependent small RNA csRNA1	sRNA	sRNA
RF02384	FasX	Gene;sRNA	FasX small RNA	sRNA	sRNA
RF02385	sau-13	Gene;sRNA	Staphylococcus sRNA sau-13	sRNA	sRNA
RF02386	sau-19	Gene;sRNA	Staphylococcus sRNA sau-19	sRNA	sRNA
RF02387	sau-27	Gene;sRNA	Staphylococcus sRNA sau-27	sRNA	sRNA
RF02388	sau-30	Gene;sRNA	Staphylococcus sRNA sau-30	sRNA	sRNA
RF02389	sau-31	Gene;sRNA	Staphylococcus sRNA sau-31	sRNA	sRNA
RF02390	sau-41	Gene;sRNA	Staphylococcus sRNA sau-41	sRNA	sRNA
RF02392	sau-53	Gene;sRNA	Staphylococcus sRNA sau-53	sRNA	sRNA
RF02393	sau-59	Gene;sRNA	Staphylococcus sRNA sau-59	sRNA	sRNA
RF02394	sau-63	Gene;sRNA	Staphylococcus sRNA sau-63	sRNA	sRNA
RF02395	sau-66	Gene;sRNA	Staphylococcus sRNA sau-66	sRNA	sRNA
RF02396	sau-5949	Gene;sRNA	Staphylococcus sRNA sau-5949	sRNA	sRNA
RF02397	sau-5971	Gene;sRNA	Staphylococcus sRNA sau-5971	sRNA	sRNA
RF02398	sau-6072	Gene;sRNA	Staphylococcus sRNA sau-6072	sRNA	sRNA
RF02399	NsiR1	Gene;sRNA	Nitrogen stress-induced RNA 1	sRNA	sRNA
RF02404	P33	Gene;sRNA	Pseudomonas sRNA P33	sRNA	sRNA
RF02405	P34	Gene;sRNA	Pseudomonas sRNA P34	sRNA	sRNA
RF02414	rli60	Gene;sRNA	Listeria sRNA rli60	sRNA	sRNA
RF02415	rliG	Gene;sRNA	Listeria sRNA rliG	sRNA	sRNA
RF02417	VR-RNA	Gene;sRNA	VR-RNA	sRNA	sRNA
RF02418	Spd-sr07	Gene;sRNA	Streptococcus sRNA Spd-sr07	sRNA	sRNA
RF02419	Spd-sr37	Gene;sRNA	Streptococcus sRNA Spd-sr37	sRNA	sRNA
RF02420	Bp1_162	Gene;sRNA	Burkholderia sRNA Bp1_Cand612_SIPHT	sRNA	sRNA
RF02421	Bp1_684	Gene;sRNA	Burkholderia sRNA Bp1_Cand684_SIPHT	sRNA	sRNA
RF02422	Bp1_738	Gene;sRNA	Burkholderia sRNA Bp1_Cand738_SIPHT	sRNA	sRNA
RF02423	Bp1_781	Gene;sRNA	Burkholderia sRNA Bp1_Cand871_SIPHT	sRNA	sRNA
RF02424	Bp2_287	Gene;sRNA	Burkholderia sRNA Bp2_Cand287_SIPHT	sRNA	sRNA
RF02425	SpF01_sRNA	Gene;sRNA	Streptococcus sRNA SpF01	sRNA	sRNA
RF02426	SpF03_sRNA	Gene;sRNA	Streptococcus sRNA SpF03	sRNA	sRNA
RF02427	SpF10_sRNA	Gene;sRNA	Streptococcus sRNA SpF10	sRNA	sRNA
RF02428	SpF11_sRNA	Gene;sRNA	Streptococcus sRNA SpF11	sRNA	sRNA
RF02429	SpF14_sRNA	Gene;sRNA	Streptococcus sRNA SpF14	sRNA	sRNA
RF02430	SpF19_sRNA	Gene;sRNA	Streptococcus sRNA SpF19	sRNA	sRNA
RF02431	SpF22_sRNA	Gene;sRNA	Streptococcus sRNA SpF22	sRNA	sRNA
RF02432	SpF25_sRNA	Gene;sRNA	Streptococcus sRNA SpF25	sRNA	sRNA
RF02433	SpF36_sRNA	Gene;sRNA	Streptococcus sRNA SpF36	sRNA	sRNA
RF02434	SpF39_sRNA	Gene;sRNA	Streptococcus sRNA SpF39	sRNA	sRNA
RF02435	SpF41_sRNA	Gene;sRNA	Streptococcus sRNA SpF41	sRNA	sRNA
RF02436	SpF43_sRNA	Gene;sRNA	Streptococcus sRNA SpF43	sRNA	sRNA
RF02437	SpF44_sRNA	Gene;sRNA	Streptococcus sRNA SpF44	sRNA	sRNA
RF02438	SpF51_sRNA	Gene;sRNA	Streptococcus sRNA SpF51	sRNA	sRNA
RF02439	SpF56_sRNA	Gene;sRNA	Streptococcus sRNA SpF56	sRNA	sRNA
RF02440	SpF59_sRNA	Gene;sRNA	Streptococcus sRNA SpF59 (ldcC RNA)	sRNA	sRNA
RF02441	SpF61_sRNA	Gene;sRNA	Streptococcus sRNA SpF61	sRNA	sRNA
RF02442	SpF66_sRNA	Gene;sRNA	Streptococcus sRNA SpF66	sRNA	sRNA
RF02443	SpR08_sRNA	Gene;sRNA	Streptococcus sRNA SpR08	sRNA	sRNA
RF02444	SpR10_sRNA	Gene;sRNA	Streptococcus sRNA SpR10	sRNA	sRNA
RF02445	SpR14_sRNA	Gene;sRNA	Streptococcus sRNA SpR14	sRNA	sRNA
RF02446	SpR18_sRNA	Gene;sRNA	Streptococcus sRNA SpR18	sRNA	sRNA
RF02447	SpR19_sRNA	Gene;sRNA	Streptococcus sRNA SpR19	sRNA	sRNA
RF02448	SpR20_sRNA	Gene;sRNA	Streptococcus sRNA SpR20	sRNA	sRNA
RF02449	ncr1015	Gene;sRNA	Bacillus sRNA ncr1015	sRNA	sRNA
RF02450	ncr1175	Gene;sRNA	Bacillus sRNA ncr1175	sRNA	sRNA
RF02451	ncr1241	Gene;sRNA	Bacillus sRNA ncr1241	sRNA	sRNA
RF02452	ncr1575	Gene;sRNA	Bacillus sRNA ncr1575	sRNA	sRNA
RF02453	ncr952	Gene;sRNA	Bacillus sRNA ncr952	sRNA	sRNA
RF02454	ncr982	Gene;sRNA	Bacillus sRNA ncr982	sRNA	sRNA
RF02463	Ms_AS-1	Gene;sRNA	Mycobacterium sRNA Ms_AS-1	sRNA	sRNA
RF02464	Ms_AS-4	Gene;sRNA	Actinobacteria sRNA Ms_AS-4	sRNA	sRNA
RF02465	Ms_AS-5	Gene;sRNA	Mycobacterium sRNA Ms_AS-5	sRNA	sRNA
RF02466	Ms_AS-8	Gene;sRNA	Actinobacteria sRNA Ms_AS-8	sRNA	sRNA
RF02467	Ms_IGR-2	Gene;sRNA	Mycobacterium sRNA Ms_IGR-2	sRNA	sRNA
RF02468	Ms_IGR-4	Gene;sRNA	Mycobacterium sRNA Ms_IGR-4	sRNA	sRNA
RF02469	Ms_IGR-7	Gene;sRNA	Actinobacteria sRNA Ms_IGR-7	sRNA	sRNA
RF02470	Ms_IGR-8	Gene;sRNA	Mycobacterium sRNA Ms_IGR-8	sRNA	sRNA
RF02471	Ms_IGR-5	Gene;sRNA	Actinobacteria sRNA Ms_IGR-5	sRNA	sRNA
RF02496	Atu_At1	Gene;sRNA	Rhizobiales sRNA Atu_At1	sRNA	sRNA
RF02497	Atu_C10	Gene;sRNA	Rhizobiales sRNA Atu_C10	sRNA	sRNA
RF02498	Atu_C3	Gene;sRNA	Rhizobiales sRNA Atu_C3	sRNA	sRNA
RF02499	Atu_C4	Gene;sRNA	Rhizobiales sRNA Atu_C4	sRNA	sRNA
RF02500	Atu_C6	Gene;sRNA	EcpR1	sRNA	sRNA
RF02501	Atu_C7	Gene;sRNA	Rhizobiales sRNA Atu_C7	sRNA	sRNA
RF02502	Atu_C8	Gene;sRNA	Rhizobiales sRNA Atu_C8	sRNA	sRNA
RF02503	Atu_C9	Gene;sRNA	Rhizobiales sRNA Atu_C9	sRNA	sRNA
RF02504	Atu_L1	Gene;sRNA	Rhizobiales sRNA Atu_L1	sRNA	sRNA
RF02505	Atu_L6	Gene;sRNA	Rhizobiales sRNA Atu_L6	sRNA	sRNA
RF02506	Atu_Ti1	Gene;sRNA	Rhizobiales sRNA Atu_Ti1	sRNA	sRNA
RF02507	Atu_Ti3	Gene;sRNA	Rhizobiales sRNA Atu_Ti3	sRNA	sRNA
RF02508	Atu_Ti4	Gene;sRNA	Rhizobiales sRNA Atu_Ti4	sRNA	sRNA
RF02514	5_ureB_sRNA	Gene;sRNA	5' ureB small RNA	sRNA	sRNA
RF02515	AfaR	Gene;sRNA	AfaR small RNA	sRNA	sRNA
RF02516	mir-393	Gene;miRNA	mir-393 microRNA precursor family	miRNA	miRNA
RF02517	mir-1017	Gene;miRNA	mir-1017 microRNA precursor family	miRNA	miRNA
RF02518	mir-2494	Gene;miRNA	mir-2494 microRNA precursor family	miRNA	miRNA
RF02520	mir-965	Gene;miRNA	mir-965 microRNA precursor family	miRNA	miRNA
RF02524	sagA	Gene;sRNA	Streptococcus sRNA sagA	sRNA	sRNA
RF02525	SSRC30	Gene;sRNA	Streptococcus sRNA SSRC30	sRNA	sRNA
RF02526	SSRC34_1	Gene;sRNA	Streptococcus sRNA SSRC34	sRNA	sRNA
RF02527	SSRC38	Gene;sRNA	Streptococcus sRNA SSRC38	sRNA	sRNA
RF02528	SSRC41	Gene;sRNA	Streptococcus sRNA SSRC41	sRNA	sRNA
RF02529	SSRC8_1	Gene;sRNA	Streptococcus sRNA SSRC8	sRNA	sRNA
RF02537	TarA	Gene;sRNA	Vibrio ToxT activated RNA TarA	sRNA	sRNA
RF02538	TarB	Gene;sRNA	Vibrio ToxT activated RNA TarB	sRNA	sRNA
RF02550	RnaG	Gene;sRNA	RnaG sRNA	sRNA	sRNA
RF02552	RcsR1	Gene;sRNA	RcsR1 sRNA	sRNA	sRNA
RF02553	YrlA	Gene;sRNA	Y RNA-like	sRNA	sRNA
RF02556	snaR-A	Gene;sRNA	snaR-A sRNA	sRNA	sRNA
RF02557	CbSR1	Gene;sRNA	Coxiella burnetii sRNA 1	sRNA	sRNA
RF02561	CbSR12	Gene;sRNA	Coxiella burnetii sRNA 12	sRNA	sRNA
RF02562	CbSR14	Gene;sRNA	Coxiella burnetii sRNA 14	sRNA	sRNA
RF02564	naRNA4	Gene;sRNA	Nucleoid-associated noncoding RNA 4 (CssrE)	sRNA	sRNA
RF02565	YrlB	Gene;sRNA	Y RNA-like	sRNA	sRNA
RF02566	Ms1	Gene;sRNA	Mycobacterium smegmatis small RNA 1	sRNA	sRNA
RF02567	Va-907	Gene;sRNA	Vibrio alginolyticus sRNA 907	sRNA	sRNA
RF02568	UptR	Gene;sRNA	Escherichia coli small RNA (uptR) gene	sRNA	sRNA
RF02569	IhtA	Gene;sRNA	IhtA sRNA	sRNA	sRNA
RF02570	BM-sr0117	Gene;sRNA	Brucella melitensis small RNA 0117	sRNA	sRNA
RF02571	Mcr7	Gene;sRNA	mcr7 sRNA	sRNA	sRNA
RF02573	LLnc147	Gene;sRNA	Lactococcus lactis non-coding RNA 147	sRNA	sRNA
RF02574	Ricks_sRNA10	Gene;sRNA	Rickettsia sRNA 10	sRNA	sRNA
RF02576	tsr1	Gene;sRNA	tsr1 small RNA	sRNA	sRNA
RF02577	tsr24	Gene;sRNA	S. aureus tsr24 small RNA	sRNA	sRNA
RF02578	tsr25	Gene;sRNA	S. aureus tsr25 small RNA	sRNA	sRNA
RF02579	tsr26	Gene;sRNA	S. aureus tsr26 small RNA	sRNA	sRNA
RF02580	tsr31	Gene;sRNA	S. aureus tsr31 small RNA	sRNA	sRNA
RF02581	tsr32	Gene;sRNA	S. aureus tsr32 small RNA	sRNA	sRNA
RF02582	tsr33	Gene;sRNA	S. aureus tsr33 small RNA	sRNA	sRNA
RF02583	Teg23	Gene;sRNA	S. aureus Teg23 small RNA	sRNA	sRNA
RF02589	Spy779816	Gene;sRNA	S. pyogenes small RNA 779816	sRNA	sRNA
RF02590	Spy1186876	Gene;sRNA	S. pyogenes small RNA 1186876	sRNA	sRNA
RF02591	Spy1786666	Gene;sRNA	S. pyogenes small RNA 1786666	sRNA	sRNA
RF02593	NsiR8	Gene;sRNA	Nitrogen stress-induced RNA 8	sRNA	sRNA
RF02594	NsiR9	Gene;sRNA	Nitrogen stress-induced RNA 9	sRNA	sRNA
RF02596	cyano_het_sRNA	Gene;sRNA	Cyanobacteria heterocyst sRNA	sRNA	sRNA
RF02599	BASRCI408	Gene;sRNA	Brucella sRNA CI408	sRNA	sRNA
RF02600	BASRCI27	Gene;sRNA	Brucella sRNA CI27	sRNA	sRNA
RF02601	BASRCI337	Gene;sRNA	Brucella sRNA CI337	sRNA	sRNA
RF02602	BASRCI414	Gene;sRNA	Brucella sRNA CI414	sRNA	sRNA
RF02603	BASRCII26	Gene;sRNA	Brucella sRNA CII26	sRNA	sRNA
RF02604	BASRCI153	Gene;sRNA	Brucella sRNA CI153	sRNA	sRNA
RF02605	scr5239	Gene;sRNA	Streptomyces sRNA scr5239	sRNA	sRNA
RF02606	AbsR28	Gene;sRNA	Acinetobacter sRNA 28	sRNA	sRNA
RF02607	AbsR25	Gene;sRNA	Acinetobacter sRNA 25	sRNA	sRNA
RF02608	AbsR11	Gene;sRNA	Acinetobacter sRNA 11	sRNA	sRNA
RF02609	BSR0602	Gene;sRNA	Brucella sRNA 0602	sRNA	sRNA
RF02610	BSR0709	Gene;sRNA	Brucella sRNA 0709	sRNA	sRNA
RF02611	BSR0653	Gene;sRNA	Brucella sRNA 0653	sRNA	sRNA
RF02612	BSR1350	Gene;sRNA	Brucella sRNA 1350	sRNA	sRNA
RF02613	BSR0739	Gene;sRNA	Brucella sRNA 0739	sRNA	sRNA
RF02614	BSR1073	Gene;sRNA	Brucella sRNA 1073	sRNA	sRNA
RF02615	BSR0626	Gene;sRNA	Brucella sRNA 0626	sRNA	sRNA
RF02616	SSRC8_2	Gene;sRNA	Streptococcus sRNA 8	sRNA	sRNA
RF02617	SSRC10	Gene;sRNA	Streptococcus sRNA 10	sRNA	sRNA
RF02618	SSRC34_2	Gene;sRNA	Streptococcus sRNA 34	sRNA	sRNA
RF02619	BSnc115	Gene;sRNA	Brucella sRNA 115	sRNA	sRNA
RF02620	BSnc119	Gene;sRNA	Brucella sRNA 119	sRNA	sRNA
RF02621	BSnc120	Gene;sRNA	Brucella sRNA 120	sRNA	sRNA
RF02622	BSnc121	Gene;sRNA	Brucella sRNA 121	sRNA	sRNA
RF02623	BSnc140	Gene;sRNA	Brucella sRNA 140	sRNA	sRNA
RF02624	BSnc150	Gene;sRNA	Brucella sRNA 150	sRNA	sRNA
