#Accession	ID	Type	Description	Class	subclass
RF04110	MIR5084	Gene;miRNA	MIR5084 microRNA precursor family	miRNA	miRNA
RF04111	MIR6274	Gene;miRNA	MIR6274 microRNA precursor family	miRNA	miRNA
RF04112	MIR5512	Gene;miRNA	MIR5512 microRNA precursor family	miRNA	miRNA
RF04113	MIR1523	Gene;miRNA	MIR1523 microRNA precursor family	miRNA	miRNA
RF04114	MIR4374	Gene;miRNA	MIR4374 microRNA precursor family	miRNA	miRNA
RF04115	mir-6130	Gene;miRNA	mir-6130 microRNA precursor family	miRNA	miRNA
RF04116	MIR9672	Gene;miRNA	MIR9672 microRNA precursor family	miRNA	miRNA
RF04117	MIR5200	Gene;miRNA	MIR5200 microRNA precursor family	miRNA	miRNA
RF04118	MIR9481	Gene;miRNA	MIR9481 microRNA precursor family	miRNA	miRNA
RF04119	MIR1858	Gene;miRNA	MIR1858 microRNA precursor family	miRNA	miRNA
RF04120	MIR5998	Gene;miRNA	MIR5998 microRNA precursor family	miRNA	miRNA
RF04121	mir-1289	Gene;miRNA	mir-1289 microRNA precursor family	miRNA	miRNA
RF04122	mir-1204	Gene;miRNA	mir-1204 microRNA precursor family	miRNA	miRNA
RF04123	mir-3127	Gene;miRNA	mir-3127 microRNA precursor family	miRNA	miRNA
RF04124	MIR8565	Gene;miRNA	MIR8565 microRNA precursor family	miRNA	miRNA
RF04125	MIR9408	Gene;miRNA	MIR9408 microRNA precursor family	miRNA	miRNA
RF04126	mir-9198	Gene;miRNA	mir-9198 microRNA precursor family	miRNA	miRNA
RF04127	MIR8007	Gene;miRNA	MIR8007 microRNA precursor family	miRNA	miRNA
RF04128	MIR8562	Gene;miRNA	MIR8562 microRNA precursor family	miRNA	miRNA
RF04129	MIR4240	Gene;miRNA	MIR4240 microRNA precursor family	miRNA	miRNA
RF04130	MIR7996	Gene;miRNA	MIR7996 microRNA precursor family	miRNA	miRNA
RF04131	mir-2032	Gene;miRNA	mir-2032 microRNA precursor family	miRNA	miRNA
RF04132	mir-4436	Gene;miRNA	mir-4436 microRNA precursor family	miRNA	miRNA
RF04133	MIR2646	Gene;miRNA	MIR2646 microRNA precursor family	miRNA	miRNA
RF04134	MIR7504	Gene;miRNA	MIR7504 microRNA precursor family	miRNA	miRNA
RF04135	MIR5062	Gene;miRNA	MIR5062 microRNA precursor family	miRNA	miRNA
RF04136	MIR1862	Gene;miRNA	MIR1862 microRNA precursor family	miRNA	miRNA
RF04137	MIR834	Gene;miRNA	MIR834 microRNA precursor family	miRNA	miRNA
RF04138	mir-9243	Gene;miRNA	mir-9243 microRNA precursor family	miRNA	miRNA
RF04139	MIR841	Gene;miRNA	MIR841 microRNA precursor family	miRNA	miRNA
